UID,REC
70,"({91: 3.7364979150633975}, [91, 93, 72, 56, 97, 89, 95, 87, 94])"
71,"({31: 5.327375742195574}, [31, 65, 78, 89, 73, 85, 48, 2, 19])"
72,"({89: 0.09755492259587695}, [89, 97, 76, 94, 63, 83, 88, 93, 99])"
73,"({55: 0.04100782060807828}, [55, 67, 60, 97, 8, 38, 69, 37, 66])"
74,"({45: 9.918302446505987}, [45, 59, 23, 38, 42, 9, 35, 49, 60])"
75,"({53: 5.867912957867851}, [53, 35, 69, 47, 94, 12, 48, 46, 38])"
76,"({89: 3.516399037915358}, [89, 60, 97, 93, 94, 95, 86, 96, 91])"
77,"({79: 8.687966743053286}, [79, 89, 84, 19, 97, 96, 20, 21, 34])"
78,"({100: 7.710538269243079}, [100, 6, 98, 59, 89, 88, 51, 78, 4])"
79,"({93: 5.457676422271389}, [93, 9, 28, 62, 70, 18, 23, 95, 92])"
80,"({76: 1.5264208197154034}, [76, 72, 83, 98, 89, 11, 7, 100, 71])"
81,"({89: 4.372656770229593}, [89, 72, 83, 66, 6, 65, 48, 12, 76])"
82,"({89: 3.2033547534565954}, [89, 53, 42, 72, 83, 65, 80, 93, 36])"
83,"({28: 2.9402379782610857}, [28, 69, 90, 27, 100, 2, 22, 10, 83])"
84,"({38: 4.0923184464808395}, [38, 23, 9, 29, 60, 88, 81, 2, 86])"
85,"({89: 6.9696787608896855}, [89, 54, 6, 46, 68, 100, 40, 93, 69])"
86,"({69: 4.499517844848437}, [69, 96, 92, 89, 93, 76, 72, 48, 87])"
87,"({73: 7.184130856301014}, [73, 51, 100, 79, 59, 61, 27, 89, 48])"
88,"({72: 4.058933680647195}, [72, 53, 98, 80, 54, 89, 83, 100, 6])"
89,"({89: 1.5485731917591634}, [89, 88, 94, 31, 85, 46, 72, 81, 86])"
90,"({86: 3.88070479110357}, [86, 90, 91, 28, 65, 76, 25, 50, 39])"
91,"({89: 5.039442028010422}, [89, 97, 62, 28, 93, 91, 32, 76, 94])"
92,"({89: 6.493652575962585}, [89, 73, 93, 96, 76, 49, 19, 83, 78])"
93,"({89: 1.6041040725701101}, [89, 72, 76, 95, 1, 60, 36, 68, 94])"
94,"({47: 5.058630740568013}, [47, 48, 28, 73, 80, 27, 92, 77, 78])"
95,"({89: 6.796563541724144}, [89, 35, 49, 60, 1, 45, 86, 82, 65])"
96,"({68: 3.865244286234316}, [68, 89, 62, 96, 99, 91, 97, 94, 95])"
97,"({32: 4.655911796956868}, [32, 54, 62, 29, 6, 35, 68, 19, 43])"
98,"({89: 3.6428402573193157}, [89, 1, 93, 27, 29, 10, 35, 94, 95])"
99,"({28: 3.3278149435990576}, [28, 99, 90, 40, 72, 12, 52, 19, 17])"
100,"({89: -0.6690682419796303}, [89, 72, 76, 50, 83, 95, 10, 87, 98])"
101,"({78: 6.7662126127419615}, [78, 72, 93, 89, 73, 27, 83, 68, 80])"
102,"({81: 4.327035745709869}, [81, 21, 22, 27, 34, 100, 42, 98, 14])"
103,"({86: 2.9333611281285434}, [86, 94, 89, 57, 18, 15, 50, 3, 91])"
104,"({98: 1.1274503359739003}, [98, 100, 83, 72, 52, 76, 81, 35, 80])"
105,"({89: 0.7039377719092044}, [89, 95, 76, 72, 83, 3, 98, 40, 93])"
106,"({65: 7.634164998933402}, [65, 78, 36, 72, 80, 73, 29, 83, 79])"
107,"({22: 4.631724634938447}, [22, 5, 35, 69, 10, 62, 38, 43, 76])"
108,"({89: 1.262240408973776}, [89, 76, 72, 87, 47, 93, 83, 77, 73])"
109,"({22: 6.0735182091141375}, [22, 9, 42, 36, 12, 91, 81, 11, 76])"
110,"({62: 8.06174175519957}, [62, 20, 95, 6, 38, 64, 61, 70, 46])"
111,"({89: 2.5342305398619698}, [89, 72, 36, 76, 69, 95, 96, 35, 91])"
112,"({53: 7.590684613814194}, [53, 81, 35, 89, 62, 76, 72, 92, 97])"
113,"({81: 2.0508428213921714}, [81, 80, 91, 76, 87, 98, 21, 83, 95])"
114,"({89: 3.3682089522573113}, [89, 29, 76, 95, 87, 72, 88, 69, 75])"
115,"({60: 4.544149189646925}, [60, 55, 11, 91, 40, 21, 67, 62, 6])"
116,"({53: 3.6381817954337157}, [53, 8, 56, 14, 36, 66, 12, 83, 7])"
117,"({89: 4.232374219011079}, [89, 91, 54, 1, 38, 97, 66, 46, 93])"
118,"({29: 4.4590463715934705}, [29, 89, 36, 81, 91, 76, 65, 87, 32])"
119,"({100: 8.610767473791231}, [100, 52, 78, 98, 81, 5, 87, 76, 29])"
120,"({61: 5.115562455717377}, [61, 6, 54, 76, 89, 12, 72, 100, 11])"
121,"({50: 6.829308555314615}, [50, 35, 12, 22, 66, 81, 40, 38, 72])"
122,"({72: 5.577794524127622}, [72, 89, 78, 69, 26, 47, 98, 73, 63])"
123,"({89: 1.1900938448065113}, [89, 10, 96, 56, 32, 94, 76, 95, 21])"
124,"({72: 4.189500351517316}, [72, 49, 93, 98, 54, 61, 14, 96, 90])"
125,"({76: 1.4379808220545227}, [76, 72, 27, 83, 100, 98, 36, 31, 89])"
126,"({76: 2.771942928315308}, [76, 42, 50, 89, 32, 36, 26, 72, 98])"
127,"({29: 0.011599878793675966}, [29, 76, 89, 72, 65, 31, 100, 87, 54])"
128,"({29: 4.279444129040184}, [29, 100, 36, 27, 10, 2, 35, 41, 1])"
129,"({2: 6.259362603141287}, [2, 34, 67, 43, 70, 35, 21, 47, 45])"
130,"({96: 3.3117867361944318}, [96, 94, 76, 89, 86, 88, 95, 72, 87])"
131,"({65: 5.272406318572422}, [65, 47, 71, 21, 11, 46, 26, 100, 69])"
132,"({100: 4.280166264022371}, [100, 36, 98, 56, 85, 27, 61, 49, 81])"
133,"({97: 6.603152924222006}, [97, 81, 87, 49, 84, 82, 32, 83, 79])"
134,"({23: 3.7014748726785514}, [23, 89, 60, 57, 48, 9, 96, 59, 93])"
135,"({46: 6.76404574584909}, [46, 14, 49, 9, 54, 97, 6, 38, 96])"
136,"({92: 8.68218726346432}, [92, 70, 29, 22, 62, 6, 36, 96, 93])"
137,"({53: 6.697503998167113}, [53, 46, 89, 81, 72, 87, 5, 88, 100])"
138,"({19: 4.994647117984498}, [19, 77, 90, 47, 99, 30, 89, 97, 76])"
139,"({50: 3.1798757798398607}, [50, 83, 76, 80, 78, 42, 98, 72, 93])"
140,"({29: 3.147872986151706}, [29, 65, 50, 53, 49, 85, 36, 10, 17])"
141,"({10: 3.2056417124093706}, [10, 60, 89, 88, 86, 94, 93, 3, 37])"
142,"({89: 4.098835931940249}, [89, 68, 93, 35, 54, 91, 76, 27, 95])"
143,"({29: 7.228905111624904}, [29, 89, 47, 49, 28, 14, 69, 93, 66])"
144,"({81: 3.2992712089389897}, [81, 83, 72, 76, 14, 85, 98, 100, 87])"
145,"({50: 3.289259739924138}, [50, 10, 68, 47, 89, 93, 6, 91, 40])"
146,"({89: 5.976444242797231}, [89, 62, 50, 88, 48, 72, 78, 93, 53])"
147,"({62: 5.923459029783924}, [62, 49, 54, 66, 73, 69, 28, 35, 22])"
148,"({89: 0.14180322681928348}, [89, 76, 1, 62, 10, 97, 49, 91, 87])"
149,"({89: 5.428012572662032}, [89, 50, 88, 86, 87, 94, 91, 9, 59])"
150,"({68: 5.604399798208542}, [68, 61, 36, 21, 90, 14, 83, 94, 78])"
151,"({100: 5.886543923778371}, [100, 98, 42, 81, 14, 29, 72, 2, 83])"
152,"({14: 6.124960527311396}, [14, 98, 21, 81, 72, 34, 12, 39, 76])"
153,"({89: 1.0157527837764175}, [89, 35, 15, 87, 71, 81, 93, 88, 76])"
154,"({62: 7.14568460092417}, [62, 49, 72, 56, 12, 83, 30, 79, 10])"
155,"({10: 5.01080082858026}, [10, 1, 50, 27, 31, 86, 3, 13, 88])"
156,"({21: 4.023013547939501}, [21, 83, 85, 80, 72, 53, 100, 91, 89])"
157,"({89: 1.892472311068723}, [89, 83, 76, 97, 91, 88, 92, 81, 95])"
158,"({89: 0.08377817480205585}, [89, 28, 76, 83, 72, 92, 94, 49, 93])"
159,"({100: 4.474555074817525}, [100, 97, 70, 53, 45, 75, 27, 35, 66])"
160,"({73: 9.985880131433005}, [73, 80, 78, 85, 77, 72, 88, 92, 91])"
161,"({89: 3.3906919789831216}, [89, 49, 69, 72, 28, 76, 29, 42, 18])"
162,"({89: 3.2864191919702685}, [89, 62, 49, 94, 55, 91, 53, 46, 90])"
163,"({89: 4.414358520613263}, [89, 32, 6, 76, 61, 78, 28, 97, 80])"
164,"({21: 3.667261492406258}, [21, 100, 11, 98, 40, 60, 83, 81, 49])"
165,"({12: 8.010430294959205}, [12, 11, 48, 50, 42, 31, 76, 72, 39])"
166,"({91: 0.6060101951444329}, [91, 90, 8, 96, 92, 19, 67, 76, 28])"
167,"({89: 5.312651226901009}, [89, 54, 8, 27, 64, 31, 72, 26, 17])"
168,"({6: 8.638772043546815}, [6, 70, 49, 68, 48, 27, 36, 42, 22])"
169,"({60: 4.151280337523488}, [60, 86, 1, 94, 3, 44, 9, 43, 38])"
170,"({34: 7.401530479322849}, [34, 21, 42, 14, 80, 39, 22, 12, 100])"
171,"({29: 5.698559458404018}, [29, 36, 18, 81, 87, 76, 72, 89, 83])"
172,"({89: 4.120344845323912}, [89, 88, 91, 94, 93, 72, 86, 97, 22])"
173,"({91: 4.377949529894418}, [91, 88, 86, 89, 69, 60, 6, 94, 38])"
174,"({65: 2.7310900836077456}, [65, 10, 11, 34, 100, 89, 40, 3, 91])"
175,"({89: 5.306180505788468}, [89, 91, 48, 93, 97, 38, 94, 72, 42])"
176,"({72: 6.822333759537854}, [72, 69, 83, 48, 56, 76, 93, 98, 61])"
177,"({39: 1.7184172751184255}, [39, 81, 72, 61, 83, 73, 76, 6, 5])"
178,"({35: 4.2412161166715725}, [35, 89, 49, 72, 56, 93, 76, 45, 98])"
179,"({32: 7.763254834288222}, [32, 47, 78, 89, 42, 21, 100, 72, 73])"
180,"({89: 4.24136333333148}, [89, 76, 72, 83, 88, 93, 91, 65, 6])"
181,"({50: 4.392016666427537}, [50, 27, 89, 69, 76, 1, 100, 83, 87])"
182,"({89: 0.25794115359962055}, [89, 76, 3, 72, 83, 93, 88, 49, 98])"
183,"({89: -1.755621816084033}, [89, 98, 76, 72, 83, 97, 96, 87, 95])"
184,"({10: 6.471814874693577}, [10, 25, 53, 34, 11, 9, 2, 67, 83])"
185,"({65: 3.009482561725298}, [65, 14, 29, 53, 72, 6, 80, 12, 76])"
186,"({50: 7.878026827520689}, [50, 49, 61, 21, 39, 36, 53, 54, 27])"
187,"({89: 2.237202390926402}, [89, 27, 62, 53, 54, 88, 76, 56, 68])"
188,"({89: 0.40673529792173957}, [89, 76, 83, 72, 80, 93, 81, 97, 100])"
189,"({53: 4.757412378064488}, [53, 18, 89, 91, 54, 76, 63, 64, 90])"
190,"({89: 2.9077339288423487}, [89, 68, 91, 53, 97, 36, 94, 93, 72])"
191,"({68: 5.050961820177125}, [68, 89, 96, 91, 77, 99, 78, 76, 83])"
192,"({100: 2.4787690532785964}, [100, 89, 72, 76, 54, 49, 36, 97, 25])"
193,"({11: 5.757127899384991}, [11, 72, 68, 28, 54, 56, 98, 12, 76])"
194,"({54: 6.627448844399511}, [54, 28, 84, 6, 85, 33, 71, 69, 83])"
195,"({19: 1.165936455055084}, [19, 97, 62, 50, 3, 13, 27, 1, 61])"
196,"({89: 5.353933538616953}, [89, 29, 61, 48, 28, 93, 12, 87, 88])"
197,"({76: 4.143702483772812}, [76, 78, 92, 72, 95, 96, 94, 87, 93])"
198,"({89: 1.7501587887717482}, [89, 10, 55, 54, 50, 49, 61, 76, 36])"
199,"({2: 6.577177406929232}, [2, 22, 53, 1, 11, 100, 81, 25, 46])"
200,"({76: 5.923045423040013}, [76, 72, 83, 87, 80, 69, 89, 73, 93])"
201,"({22: 5.7021063739034705}, [22, 21, 81, 26, 14, 35, 100, 98, 67])"
202,"({29: 5.713444123289647}, [29, 32, 35, 56, 69, 36, 66, 46, 20])"
203,"({29: 5.7048687582112745}, [29, 36, 87, 2, 62, 56, 81, 89, 88])"
204,"({89: 3.8789270367096256}, [89, 50, 3, 88, 60, 86, 29, 32, 72])"
205,"({79: 4.7560151940123445}, [79, 65, 85, 27, 83, 42, 93, 61, 51])"
206,"({42: 5.0925182661046735}, [42, 97, 1, 22, 25, 38, 60, 46, 91])"
207,"({8: 2.119638699489473}, [8, 82, 86, 36, 48, 19, 20, 60, 71])"
208,"({88: 5.767823527898283}, [88, 67, 87, 21, 46, 56, 85, 50, 96])"
209,"({36: 3.3345811299059047}, [36, 56, 89, 45, 100, 21, 5, 46, 39])"
210,"({62: 9.134947699412905}, [62, 21, 73, 68, 85, 72, 69, 48, 100])"
211,"({65: 3.688695637779935}, [65, 27, 31, 42, 25, 87, 81, 100, 98])"
212,"({27: 0.29013583055315983}, [27, 1, 36, 50, 72, 38, 64, 44, 83])"
213,"({100: 5.127945668109718}, [100, 35, 80, 53, 85, 72, 76, 52, 69])"
214,"({89: 3.7946464766328263}, [89, 21, 98, 32, 39, 6, 76, 97, 73])"
215,"({89: 3.615260760532567}, [89, 94, 76, 55, 86, 93, 60, 95, 88])"
216,"({29: 5.665466168925768}, [29, 54, 61, 36, 35, 89, 21, 83, 12])"
217,"({76: -2.423063569455517}, [76, 100, 80, 81, 21, 73, 98, 75, 87])"
218,"({94: 3.083307998456821}, [94, 86, 89, 50, 73, 80, 76, 90, 78])"
219,"({11: 6.011788857871183}, [11, 21, 81, 40, 80, 85, 72, 54, 83])"
220,"({73: 4.777603914833699}, [73, 78, 100, 80, 85, 83, 6, 72, 77])"
221,"({80: 5.0554114478174395}, [80, 35, 42, 61, 5, 12, 56, 92, 17])"
222,"({36: 2.71750386987854}, [36, 93, 97, 85, 91, 62, 48, 90, 82])"
223,"({36: 5.523513000056511}, [36, 65, 11, 69, 54, 12, 66, 34, 42])"
224,"({89: 2.3425380865868055}, [89, 27, 53, 76, 72, 94, 46, 32, 87])"
225,"({62: 2.8193480890287077}, [62, 68, 1, 50, 6, 38, 93, 72, 94])"
226,"({35: 5.458222434823271}, [35, 48, 26, 21, 66, 2, 23, 34, 55])"
227,"({29: 6.413919167494081}, [29, 89, 56, 12, 88, 31, 81, 42, 93])"
228,"({3: 5.708491005220099}, [3, 44, 22, 95, 7, 24, 91, 94, 86])"
229,"({89: 4.97824644605894}, [89, 62, 90, 93, 23, 82, 88, 84, 91])"
230,"({50: 4.945077608600033}, [50, 76, 29, 93, 97, 56, 14, 12, 83])"
231,"({29: 9.751527366545835}, [29, 36, 72, 100, 14, 89, 31, 83, 61])"
232,"({89: 3.99111864294569}, [89, 54, 68, 88, 93, 81, 66, 82, 76])"
233,"({78: 6.548963500758255}, [78, 61, 72, 35, 38, 70, 75, 76, 95])"
234,"({50: 2.7969893734233344}, [50, 45, 89, 72, 11, 78, 93, 100, 69])"
235,"({1: 3.24398133563591}, [1, 2, 80, 100, 10, 51, 21, 81, 12])"
236,"({12: 7.373025574504067}, [12, 21, 53, 62, 80, 27, 36, 31, 22])"
237,"({27: 5.495617698487517}, [27, 72, 89, 78, 76, 93, 61, 80, 79])"
238,"({76: 0.1581490158937544}, [76, 100, 46, 81, 83, 69, 36, 14, 3])"
239,"({61: 6.043312085760116}, [61, 29, 68, 76, 89, 72, 87, 80, 93])"
240,"({94: 8.030147227026294}, [94, 80, 77, 74, 81, 35, 68, 30, 61])"
241,"({89: 2.793109869338949}, [89, 76, 1, 72, 93, 87, 73, 91, 95])"
242,"({36: 7.698810998490919}, [36, 70, 94, 81, 14, 50, 98, 19, 7])"
243,"({89: 4.101723315428509}, [89, 50, 32, 2, 31, 72, 100, 14, 38])"
244,"({22: 1.698503158500834}, [22, 50, 11, 34, 36, 35, 15, 51, 89])"
245,"({21: 5.16930078412391}, [21, 14, 98, 31, 83, 100, 72, 76, 12])"
246,"({62: 3.794554040200656}, [62, 89, 6, 65, 68, 42, 72, 80, 87])"
247,"({80: 7.73382140817845}, [80, 72, 69, 94, 46, 98, 99, 22, 29])"
248,"({29: 6.895748700389122}, [29, 83, 100, 98, 76, 72, 49, 54, 89])"
249,"({100: 5.554275149528873}, [100, 80, 73, 78, 31, 85, 51, 98, 40])"
250,"({89: 2.2017799855368194}, [89, 90, 78, 88, 86, 73, 80, 76, 72])"
251,"({89: 1.8720132965254956}, [89, 90, 99, 71, 93, 97, 84, 82, 95])"
252,"({10: 2.5148361069808245}, [10, 60, 67, 94, 91, 97, 86, 96, 38])"
253,"({3: 2.7064564015908927}, [3, 11, 55, 1, 12, 10, 22, 72, 76])"
254,"({56: 4.762979612880182}, [56, 1, 72, 93, 97, 89, 66, 76, 28])"
255,"({100: 4.17890854075553}, [100, 39, 6, 34, 85, 98, 51, 26, 83])"
256,"({49: 4.8524053744193765}, [49, 56, 32, 60, 36, 93, 89, 72, 28])"
257,"({35: 2.476027148230357}, [35, 53, 61, 45, 1, 19, 76, 55, 64])"
258,"({6: 4.691435165005545}, [6, 61, 78, 73, 31, 34, 88, 46, 49])"
259,"({21: 4.983234002270581}, [21, 53, 42, 89, 72, 93, 83, 78, 68])"
260,"({35: 3.756218663845868}, [35, 88, 72, 89, 83, 93, 81, 84, 76])"
261,"({68: 7.526872624911283}, [68, 89, 96, 78, 90, 84, 77, 76, 93])"
262,"({89: 3.810588165171069}, [89, 54, 6, 88, 32, 76, 97, 80, 72])"
263,"({47: 4.283838605129068}, [47, 89, 91, 25, 88, 23, 61, 72, 1])"
264,"({42: 4.5729886283062555}, [42, 21, 12, 39, 68, 65, 11, 14, 61])"
265,"({50: 3.673710384880059}, [50, 49, 10, 62, 3, 56, 71, 36, 82])"
266,"({29: 5.398532738947125}, [29, 89, 49, 97, 42, 60, 21, 72, 48])"
267,"({12: 6.754564207255831}, [12, 26, 2, 31, 14, 56, 36, 40, 53])"
268,"({54: 5.808148658989164}, [54, 69, 26, 87, 31, 73, 39, 95, 11])"
269,"({83: 3.3448980814195526}, [83, 99, 78, 76, 42, 89, 22, 55, 97])"
270,"({22: 3.3249285852298165}, [22, 46, 10, 2, 65, 42, 81, 41, 91])"
271,"({32: 4.078249200652673}, [32, 89, 90, 85, 98, 83, 93, 76, 71])"
272,"({48: 4.453497025912801}, [48, 28, 89, 68, 93, 72, 10, 76, 83])"
273,"({80: 6.81374193837868}, [80, 31, 78, 73, 21, 100, 85, 32, 77])"
274,"({72: 2.5050586273203925}, [72, 89, 76, 35, 92, 91, 93, 83, 95])"
275,"({50: 4.681500318332815}, [50, 29, 53, 36, 72, 48, 27, 93, 6])"
276,"({14: 6.3823396299052275}, [14, 34, 69, 56, 35, 73, 45, 3, 97])"
277,"({69: 2.796221206922337}, [69, 56, 86, 42, 6, 92, 76, 14, 22])"
278,"({27: 7.26551683756408}, [27, 48, 61, 90, 35, 78, 93, 89, 62])"
279,"({35: 6.286635246588691}, [35, 50, 54, 66, 6, 42, 39, 72, 89])"
280,"({35: 7.302512005712064}, [35, 69, 61, 65, 93, 39, 66, 11, 91])"
281,"({80: 3.8568559393220028}, [80, 98, 83, 100, 73, 78, 72, 76, 85])"
282,"({1: 2.8121010455421276}, [1, 2, 22, 10, 25, 95, 94, 83, 87])"
283,"({29: 1.178602041476251}, [29, 93, 76, 72, 92, 89, 68, 83, 66])"
284,"({38: 2.711473988442499}, [38, 32, 68, 36, 53, 72, 35, 56, 64])"
285,"({89: -0.05177932737299651}, [89, 10, 36, 60, 81, 76, 15, 83, 100])"
286,"({98: 6.4518386195512525}, [98, 83, 93, 72, 80, 97, 95, 20, 14])"
287,"({28: 2.407528912100866}, [28, 90, 80, 47, 82, 48, 35, 50, 32])"
288,"({28: 6.1565163177471875}, [28, 47, 39, 78, 81, 49, 72, 6, 85])"
289,"({89: 0.6905607337118251}, [89, 32, 76, 83, 91, 97, 86, 94, 93])"
290,"({73: 5.082498052565012}, [73, 98, 80, 85, 83, 77, 79, 3, 84])"
291,"({76: 3.1632479322578515}, [76, 89, 94, 87, 92, 79, 84, 75, 86])"
292,"({31: 5.783483035682599}, [31, 35, 28, 76, 26, 46, 9, 27, 100])"
293,"({78: 6.795815603869601}, [78, 72, 84, 28, 79, 73, 81, 27, 97])"
294,"({21: 4.563163063721934}, [21, 27, 100, 32, 73, 72, 80, 39, 89])"
295,"({55: 6.412754573295962}, [55, 2, 86, 46, 51, 38, 88, 100, 9])"
296,"({29: 4.477639527665678}, [29, 89, 35, 53, 93, 87, 72, 92, 97])"
297,"({100: 4.131492949090358}, [100, 85, 61, 6, 89, 80, 79, 78, 76])"
298,"({31: 4.999303710043057}, [31, 87, 2, 81, 88, 42, 72, 1, 61])"
299,"({89: 2.8984790534569562}, [89, 83, 53, 72, 81, 76, 87, 31, 66])"
300,"({29: 6.1339744429436}, [29, 65, 14, 42, 27, 22, 26, 34, 12])"
301,"({81: 2.791357305564593}, [81, 53, 89, 83, 27, 39, 72, 98, 76])"
302,"({32: 5.250597454170446}, [32, 87, 61, 34, 38, 25, 72, 54, 93])"
303,"({36: 0.7139687022446455}, [36, 86, 55, 78, 54, 50, 43, 81, 53])"
304,"({89: 4.337851708335368}, [89, 31, 93, 76, 45, 72, 100, 78, 80])"
305,"({89: 0.43784511698380424}, [89, 76, 95, 93, 97, 96, 88, 92, 87])"
306,"({39: 7.510566584421305}, [39, 12, 14, 4, 24, 40, 48, 38, 31])"
307,"({50: 3.8519667320523787}, [50, 89, 36, 97, 68, 35, 98, 72, 76])"
308,"({89: 5.385094048982975}, [89, 49, 73, 84, 35, 45, 85, 36, 56])"
